n tx_ln ty_ln tx_lin ty_lin
10000 105 52 3 8
20000 111 54 8 16
30000 115 54 12 25
40000 117 58 16 33
50000 119 60 20 42
60000 121 58 25 50
70000 123 59 29 59
80000 126 61 33 67
90000 129 67 38 76
100000 129 64 42 85
110000 130 68 46 93
120000 132 71 50 102
130000 134 72 55 110
140000 136 74 60 119
150000 135 76 63 127
160000 138 79 67 136
170000 141 78 72 145
180000 143 84 77 159
190000 143 76 81 164
200000 152 82 88 175
210000 149 81 91 181
220000 148 79 94 189
230000 149 79 98 198
240000 149 80 103 208
250000 154 78 108 215
260000 150 82 110 224
270000 154 86 117 234
280000 157 83 121 243
290000 154 82 125 251
300000 158 82 129 258
310000 158 85 133 267
320000 158 81 137 276
330000 161 83 142 284
340000 161 95 147 300
350000 163 87 151 302
360000 167 85 156 311
370000 165 90 159 319
380000 172 90 167 330
390000 198 93 169 340
400000 168 92 173 349
410000 174 95 179 357
420000 168 91 181 361
430000 169 87 185 369
440000 167 94 188 381
450000 169 89 194 387
460000 170 88 197 395
470000 168 89 201 404
480000 170 90 206 413
490000 168 89 209 421
500000 171 95 214 433
