n txln ty_ln tx_lin ty_lin
10000 109 51 3 8
20000 112 55 8 16
30000 118 56 12 25
40000 121 57 17 33
50000 125 59 21 42
60000 126 60 25 51
70000 129 62 30 59
80000 132 76 33 67
90000 134 73 39 76
100000 135 67 42 84
110000 136 72 46 93
120000 138 77 50 101
130000 142 84 58 116
140000 139 81 60 119
150000 142 91 63 127
160000 144 76 69 136
170000 146 75 77 143
180000 145 79 76 152
190000 147 89 82 161
200000 159 81 87 169
210000 148 81 90 177
220000 149 79 94 186
230000 152 86 96 195
240000 155 81 105 204
250000 153 80 108 212
260000 155 81 110 222
270000 155 88 110 232
280000 155 82 120 237
290000 157 86 121 246
300000 164 84 130 260
310000 160 88 134 268
320000 163 97 144 276
330000 163 87 140 283
340000 162 85 146 289
350000 158 84 151 296
360000 160 87 155 306
370000 167 178 158 321
380000 164 85 163 329
390000 167 86 164 334
400000 164 84 170 340
410000 170 89 176 353
420000 167 90 181 367
430000 176 92 190 378
440000 176 91 193 381
450000 173 92 196 385
460000 176 90 197 396
470000 169 89 203 403
480000 173 88 205 418
490000 177 88 210 426
500000 172 88 220 428
