n ty_kv
10000 117
20000 472
30000 1058
40000 1920
50000 2964
60000 4234
70000 5803
80000 7695
90000 9607
100000 11896
110000 14380
120000 17044
130000 19935
140000 23062
150000 26551
160000 30800
170000 34755
180000 39136
190000 43304
200000 48053
210000 53093
220000 58140
230000 63562
240000 69221
250000 75155
260000 81344
270000 88897
280000 93916
290000 100508
300000 110460
310000 119804
320000 126118
330000 130717
340000 138673
350000 147296
360000 155476
370000 163855
380000 171602
390000 179929
400000 189944
410000 200650
420000 210973
430000 220068
440000 229152
450000 240516
460000 249857
470000 259743
480000 271705
490000 285317
500000 295416
