n ty_lin
10000 16
20000 33
30000 50
40000 67
50000 83
60000 99
70000 117
80000 135
90000 150
100000 167
110000 186
120000 204
130000 222
140000 237
150000 255
160000 268
170000 289
180000 300
190000 317
200000 336
210000 353
220000 368
230000 387
240000 402
250000 420
260000 436
270000 451
280000 473
290000 493
300000 506
310000 523
320000 543
330000 556
340000 587
350000 596
360000 610
370000 622
380000 637
390000 659
400000 675
410000 698
420000 723
430000 724
440000 741
450000 765
460000 775
470000 786
480000 822
490000 833
500000 856
